,q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0,8044.631016061019,4531.235936197131,3131.6250425188396,0.28356688364322735,1.1738926203212203,4.137897843673033e-05,0.6612122978616071,0.4569711984061865
1,6074.566328409467,3624.737807241355,2151.602840728353,0.15618313309915366,1.1344913265681893,2.9168910245929798e-05,0.6769594749250899,0.4018349376578634
2,5141.386926990701,3109.51452743629,1775.2572155540056,0.11559865772731512,1.1158277385398139,2.508821382552688e-05,0.6748535607253702,0.3852813445256282
3,4427.357468424118,2689.2349231498206,1514.2921112923275,0.08970683358840534,1.1015471493684823,2.2319481558599855e-05,0.6690942849169089,0.37676279989502476
4,3654.8045450945715,2223.460897754324,1243.9516264414683,0.06543099588626852,1.0860960909018913,1.9444094436903446e-05,0.6607447048406261,0.3696641968918383
5,3235.1898754489034,1969.86054424644,1098.1648617340704,0.05413974539538129,1.0777037975089778,1.803501347466834e-05,0.6561992993986211,0.3658187180218922
6,2796.2691831682073,1702.4466635374483,948.1551042139714,0.04289960147010539,1.0689253836633639,1.6399187174073756e-05,0.650792580818205,0.36244865858299485
7,2566.481465884337,1562.2720901312794,869.9371670708955,0.03745357850236444,1.0643296293176867,1.553216203436652e-05,0.647881051365545,0.3607653007151173
8,2283.865089531204,1389.8743135404025,773.8687140205557,0.03121021469846778,1.0586773017906241,1.4467397293433887e-05,0.6442719012011328,0.35872318811720766
9,1932.831816220243,1175.6841990121818,654.8122354563696,0.024125246726615843,1.0516566363244049,1.3126590754733325e-05,0.6396919228828523,0.35628384177580774
10,1201.5160183591192,729.8229738885707,407.1839118566496,0.0119218780525893,1.0370303203671822,1.0289807893870878e-05,0.6299124053127875,0.35143988017151095
11,875.2666183038733,531.1686905408316,296.80855163096174,0.007632967517683198,1.0305053323660773,8.98678093010376e-06,0.625377984813514,0.34945061569664315
