,q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0,4447.611153244001,2660.1215411188264,1562.6990440573438,0.11185828927478336,1.10195222306488,2.7707758630770282e-05,0.659096129620103,0.387160640611156
1,3926.8552015570654,2345.1766711250616,1381.3254712376265,0.08701473647579594,1.0915371040311412,2.418477479251361e-05,0.651888840219392,0.3839563339619666
2,3707.4462811169456,2212.733106934774,1304.7958790967077,0.07777783317124096,1.0871489256223388,2.2806914253599386e-05,0.648850744281758,0.3826076293513371
3,3509.356732516445,2093.3500006963222,1235.5836691286231,0.07001270431531012,1.0831871346503288,2.1611577139254638e-05,0.6461263324833966,0.38137144551480295
4,3332.294148061537,1986.6950935729108,1173.721125372792,0.06345585712967425,1.0796458829612305,2.0562713915590904e-05,0.6436752591656093,0.3802823160067157
5,3173.0865981667444,1890.8509033159808,1118.089217314203,0.05785867939453784,1.0764617319633347,1.963333508492838e-05,0.6414604621818734,0.37931389137138644
6,3029.0903911990977,1804.2191350268886,1067.7569538541754,0.053033298416509764,1.0735818078239818,1.880285539457782e-05,0.6394500711961328,0.37844518869746446
7,2895.5452950428485,1724.0169364153876,1020.9698270616614,0.0487961235792717,1.0709109059008568,1.8055212528788323e-05,0.6376149390008079,0.37761016661253
8,2662.2612482244044,1584.0171808092089,939.2159637979744,0.04182241437976721,1.0662452249644878,1.6760703189148368e-05,0.6343945475487328,0.37616617163757593
9,2467.017335588088,1466.8992072419753,870.8179986887297,0.03637411669526788,1.0623403467117618,1.567557152917284e-05,0.6316616117588845,0.3749953143063581
10,2299.5720747842693,1366.5546986809902,812.1173441733014,0.03200076814187526,1.0589914414956851,1.474989282870639e-05,0.629311355401652,0.37399759112621456
11,2155.34981087628,1280.1750667379044,761.553239168609,0.028441490673870164,1.0561069962175256,1.394890281916506e-05,0.6272693147109649,0.37315598752875134
