,q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0,4159.06882766088,2489.0046432113236,1458.7498574607682,0.10569503345690559,1.0961813765532173,2.784928021000732e-05,0.656029351231887,0.38445643096613047
1,3668.6273835727593,2193.6343926389904,1286.9255152130556,0.08185008417073872,1.086372547671455,2.423635234718859e-05,0.6495964202711233,0.38108414597299456
2,3462.250969999947,2069.2120822620695,1214.878914837489,0.07301758395188017,1.0822450193999988,2.2825622051111852e-05,0.6468055970013853,0.37974885170157247
3,3279.2257352705187,1958.8402037983976,1151.07521978527,0.06566384069596999,1.0785845147054103,2.1602699147173414e-05,0.6442901517203278,0.3786050152109453
4,3114.632828591874,1859.6419975770912,1093.6901041613435,0.05944574467979687,1.0752926565718375,2.0530244485511248e-05,0.6420173780986984,0.37758700315366334
5,2965.3901832604156,1769.7742700220547,1041.6202545482852,0.05412228501060845,1.072307803665208,1.958047681725677e-05,0.6399581867727953,0.3766622913406057
6,2830.050990407938,1688.327648745393,994.3873998161506,0.04953319221212211,1.0696010198081587,1.8732256569797888e-05,0.6380858066439958,0.375828735832603
7,2705.862412978434,1613.6665835302235,951.0007183705882,0.04552847314617334,1.0671172482595686,1.796912383021239e-05,0.6363765432770905,0.3750549907836578
8,2489.979034480129,1483.922603425344,875.6044307918037,0.03896407984438727,1.0627995806896025,1.664893638819875e-05,0.6333735632072345,0.37374162347098977
9,2306.1654015375625,1373.5884524463113,811.3409162381877,0.03379997993609011,1.0591233080307512,1.554347824175694e-05,0.6308199637992369,0.3726200556782824
10,2149.8702608195485,1279.8185585612605,756.7021784342793,0.029682345970789725,1.0559974052163907,1.4601596214855157e-05,0.6286250092069973,0.3716900493381887
11,2013.313406671663,1197.9815318220699,708.9113989644994,0.026311000444753936,1.053266268133433,1.3787485536140924e-05,0.6267156550245514,0.3708690805483554
