,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
0,0.021395590456468116,0.007851025185731518,0.2529904560124156,0.013503955128565445,0.025241079631450045,0.03404878697359806,0.11744425046256886,4.1746038514927585e-07,0.0571079227558213,0.038835530171342135,0.030922806018634546,8.506351383441766,5.787378905778893,1.2214966484916059,0.7922966643650242,0.3031789565841989,1.2496073611806005,0.33785125077220635,0.041353391845878856,0.20001266957525762,0.14601790967826825,0.5309350661550746,0.2793700068933076,13.497936732031425,9.099162023374056e-69,9.325933954328961e-05,6.704424299796829,0.013295359204604364,0.024884120214443233,0.03351253447912368,0.1159656065982188,0.0282830321552502,0.010552498016091932,0.000215982529758887,0.03070682348887566,1.7005151618292456e-05,1.6023219989347566,0.014672147381158736
1,0.018330830633222616,0.006501458651052608,0.201503147251462,0.011178958435072517,0.02076759536534652,0.02718731329470362,0.0796093954455157,3.5432792858842074e-07,0.055588225158908024,0.04233366807058239,0.03391434200149237,8.645031704107755,4.982603930464465,1.0580905498987199,0.6888077650540866,0.2696436440921255,1.2558960111371733,0.35615339963245374,0.045450080611038626,0.20703744138725622,0.14834117687131804,0.5451192335594653,0.28455289149490365,13.869184269239053,1.1267685655668783e-68,0.0001154850215579977,6.763134762360686,0.011027839086635106,0.020510567257467374,0.02681311874235058,0.07875532456211477,0.031881913738824715,0.010451754331757672,0.00026583203047203177,0.03364850997102035,1.4799048421732691e-05,1.5866098562132391,0.014543449670715388
2,0.017153315705139994,0.005983282995763482,0.18375976922657686,0.010302921291476126,0.019095140058494175,0.02476755386186306,0.06977527425726969,3.3016544756562615e-07,0.05494955373063618,0.04386000186807573,0.03532819107940446,8.703311506972701,4.660806150895725,0.9920975296120662,0.6469308713469836,0.2555183059905812,1.2554430665137295,0.3641246626308317,0.04675667991565052,0.20984862580953526,0.1490185768028938,0.5497662254822501,0.28609507569697834,14.027369797185552,1.233650790854636e-68,0.0001264396190403255,6.786496850832244,0.01017079955392363,0.018870943148200727,0.024444359585157727,0.06907102904891234,0.03344764840703378,0.010412353461041956,0.00028981019086831203,0.03503838088853614,1.3937637196867956e-05,1.579793396687696,0.014492490360974393
3,0.016143169897431774,0.005539382002061503,0.1693455719283394,0.009559196386293274,0.017680948568958476,0.022778524434722437,0.06250681481051988,3.0948131556610764e-07,0.05437957998714514,0.04529630047393322,0.03669212746035087,8.755945415371338,4.379276971135569,0.9340653062435499,0.6100632632053535,0.24282242972921067,1.2533954586250335,0.3714797782657069,0.047738077067856315,0.2123167202305852,0.1494747147832367,0.5533564317728462,0.28715981202337393,14.171460042205252,1.3390982734591028e-68,0.00013724716654737426,6.807521323974048,0.009442320726233723,0.017483014625313296,0.022495244665182802,0.06190933649857666,0.03491867399003652,0.01037762648389669,0.0003133798871398844,0.03637874757321099,1.3190903735818474e-05,1.5736495354360818,0.01444883772255122
4,0.015266228788854266,0.005154823228215004,0.1573984146189679,0.0089195583163705,0.016468852209325792,0.021113357564691453,0.05688733206989274,2.9155970742086287e-07,0.053868772289569246,0.04665993130871512,0.03800886482411462,8.803847402852156,4.130897308858605,0.8826399331858715,0.5773584437030084,0.23135818106281475,1.250162721191258,0.3783090737705408,0.04847283123896784,0.21450596493268026,0.149760940167742,0.5561399092873771,0.28785812586882653,14.303670492186425,1.4428621377539882e-68,0.00014788215626152862,6.826711980150625,0.008815182183587435,0.016292389626598867,0.020862116912977263,0.056369769048384144,0.03631316413983755,0.01034676716887757,0.00033657253603881006,0.03767229228807581,1.2536048242685964e-05,1.5680983887294646,0.014409986966686104
5,0.014497070480660158,0.0048184591749480445,0.14732887117647442,0.008363323950580885,0.015417949955175843,0.01969789484845047,0.05240083465883326,2.7586947376602546e-07,0.05340897170049666,0.04796135625649319,0.03928061931385323,8.847729528430966,3.9101332769982418,0.8367568921472532,0.5481501120210015,0.22096050602216435,1.2460523776525778,0.384683077039107,0.04901737614877654,0.2164654057172562,0.14991577858326466,0.5582962332651442,0.28827289110884924,14.425725708055275,1.5447377299196937e-68,0.0001583236127566974,6.844390487230816,0.008269363195680907,0.0152593348359046,0.019472880024942518,0.0519452085215972,0.0376422439760206,0.01031911228047259,0.0003594119014421365,0.03892120741241109,1.1956107106720239e-05,1.5630689071135662,0.014374696861193045
6,0.013816386616734419,0.004521793338945719,0.13872086248192994,0.007874984940856559,0.01449774169150387,0.018479063498460423,0.04872929525090596,2.620081363864285e-07,0.052993140328148176,0.049207557554450075,0.04050927131409264,8.888155963937413,3.712618245951881,0.7955679982721878,0.5219067330196948,0.2114912437414753,1.24129760703506,0.39065787345731745,0.04941330355583638,0.2182330715854868,0.14996851942489167,0.5599586369644316,0.2884669039702628,14.5389919967878,1.6445623146281847e-68,0.00016855485692641545,6.860780099198722,0.007789817878704748,0.014354162788748997,0.01827586033572154,0.04832296728397468,0.038913409634006545,0.010294147920443536,0.0003819037322035087,0.04012736758188913,1.1438172215585757e-05,1.5584957033916444,0.014342885586159723
7,0.013209248191107558,0.004258231634170125,0.1312725764490668,0.007442680121592923,0.013685012436582487,0.01741787939293675,0.045665309161065086,2.496651163864376e-07,0.05261546754253659,0.05040359034185792,0.04169648405918709,8.925580556768969,3.5348604707010867,0.7583892902533018,0.49819916285473986,0.20283423590972186,1.236076611951266,0.39627883220455934,0.04969190873532227,0.21983886680621537,0.1499416797563892,0.5612281135339338,0.28848834317405564,14.644569381078737,1.7422115008536163e-68,0.00017856313965721046,6.8760429629488575,0.007365018180032985,0.013554242108194897,0.017233056177570205,0.045299047365521386,0.04013205995000718,0.010271530391850733,0.0004040486860527669,0.04129243537313433,1.0972192921195555e-05,1.5543209049780937,0.014313356878927446
8,0.012171092711718944,0.0038106639495624284,0.11901303600046913,0.006711189469999248,0.012313866979352432,0.01565818994326782,0.04083194347870089,2.286097675627929e-07,0.051955553450150606,0.05265943871919478,0.0439526022244091,8.992840404422397,3.227828992817557,0.6939308760129675,0.45705208583475476,0.18757922210854888,1.2247529435754207,0.4066021914763871,0.04998760122991923,0.22265550653886618,0.14971535939518857,0.56288268176596,0.28815477734722905,14.836097768314085,1.9306522065089822e-68,0.00019787684756497837,6.903682533491347,0.006645609394196333,0.012203667006475674,0.01550251200618827,0.04052661511193878,0.04242752878344967,0.010231909935745107,0.000447285627643909,0.043505316596765195,1.0166068402115864e-05,1.5469862620703372,0.01426323437550453
9,0.011314132861880146,0.0034452260008228076,0.10932109203421846,0.00611548546476078,0.011201015327382442,0.014256101576988162,0.03718057412659641,2.1128388730073276e-07,0.05139850148859593,0.05475188785022189,0.04606027782791681,9.051777906049278,2.9719644172899238,0.6399844568555886,0.42257147426725994,0.17457286337732253,1.212846031094057,0.41588503002360916,0.050039591509979185,0.22505657250657202,0.14933617230469545,0.5637024131851903,0.28748455506945036,15.005841672379452,2.1096677992820307e-68,0.0002162245546473219,6.928065623252077,0.006059140371120898,0.011106495898685884,0.014122350996735953,0.03691912226300711,0.04455340238096896,0.010198485469252935,0.0004890899461675051,0.0455711878817493,9.491060529518697e-06,1.5407492110905028,0.014220431585312648
10,0.01059304129712046,0.003141538966102481,0.10144760603028159,0.0056206738233588825,0.010279218715702192,0.013110629416387461,0.03431422730798331,1.967498261882012e-07,0.050922175808614384,0.056697604676073175,0.0480300826709614,9.104003400534072,2.755452136511915,0.5941745429521819,0.3932595286640049,0.16335755866144647,1.2008161851894557,0.4242963037951519,0.04993256762564435,0.2271374608015822,0.14886635475162072,0.5639669978130974,0.28661090435816855,15.157758304497529,2.2792096561707114e-68,0.0002336012774243922,6.949742553617088,0.0055715620621706475,0.010196953858876565,0.01299385873595052,0.034085685380628845,0.04652783168939601,0.01016977298667716,0.0005294507994805396,0.047500631871480854,8.915934474079245e-06,1.5353881338411324,0.014184939422903041
11,0.009976599687592269,0.0028854554712236524,0.09491021204602597,0.005202947384762326,0.009502846521336572,0.012155753532723301,0.031995885812452836,1.8436287361709708e-07,0.05051026383998532,0.05851048392624308,0.049872094158476946,9.15070242157624,2.5698563780090335,0.554790590489401,0.3680356261927439,0.15359045919435924,1.1889402458379135,0.4319643841395939,0.049721420794222496,0.22896504896512138,0.14834564895058042,0.5638588130303027,0.28561919429124877,15.294791354553485,2.439462497794915e-68,0.0002500259483242162,6.969121463887726,0.005159614683295109,0.009430354382152928,0.01205243938652976,0.031792823137869713,0.04836549870109103,0.01014498522515205,0.0005683603884701574,0.049303733770006776,8.418827352415403e-06,1.5307246226666,0.014153608499267573
