q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2,HRT,Qin
2604.6739429974486,1617.3839594712063,851.111974207375,0.04317426434097469,1.0650934788599489,1.7654657899801783e-05,0.6613745696181186,0.3480335095089405,20.0,170.0
2604.6739429974486,1617.3839594712063,851.111974207375,0.04317426434097469,1.0650934788599489,1.7654657899801783e-05,0.6613745696181186,0.3480335095089405,,
2632.9406186454853,1633.9106810771323,861.4470048102971,0.04372653690554728,1.0656588123729096,1.7697918843273345e-05,0.6613105147870078,0.3486628545920684,,
2649.055583232851,1643.4234309948936,867.248783781867,0.04419031943614966,1.065981111664657,1.7782203640995668e-05,0.6613142989509305,0.34898128543509527,,
2639.9571233166275,1638.0022372897727,864.023026748918,0.04428337914443061,1.0657991424663324,1.787801290437282e-05,0.6612915658524467,0.3488219535259911,,
2680.6200936328573,1662.0349222487444,878.6353099905975,0.0451727238018229,1.066612401872657,1.7974120073126458e-05,0.6613197687455545,0.3496069139320394,,
2672.0125158100295,1656.7913042677772,875.6980003391863,0.04525027352264261,1.0664402503162005,1.806006249478002e-05,0.6612502459440764,0.34950419923463916,,
2709.4699828918765,1678.7812916993837,889.3087040497735,0.046045534676602995,1.0671893996578374,1.813613246085887e-05,0.6612280668019376,0.3502754516484489,,
2702.4098468759084,1674.3529503396346,887.0264916733122,0.04608674519265832,1.067048196937518,1.81973798006232e-05,0.6611192964539846,0.35024295802874283,,
2734.338340151898,1692.9526611943684,898.7742430442853,0.04673023264334663,1.0676867668030379,1.8246919289496876e-05,0.6610532159238206,0.3509475588849376,,
2729.338181441443,1689.6683676844857,897.3057399488853,0.0467397194835593,1.0675867636288288,1.8282346319582656e-05,0.6609175794073312,0.350983156800188,,
2754.6067550794473,1704.2461086910573,906.746466273565,0.047214696599874956,1.0680921351015888,1.8307384894973765e-05,0.6608173241475644,0.35158875849413945,,
2751.750458517099,1702.1794850344197,906.098000703935,0.04720328668304162,1.0680350091703419,1.8320979131429246e-05,0.6606657505157667,0.35168319260045366,,
2754.7716515178845,1703.5795731070968,907.5696968040444,0.0472652883229821,1.0680954330303576,1.8325961271898373e-05,0.6605213760047594,0.3518879859893363,,
2760.2845522840535,1706.4331912722434,909.9564203900111,0.0473482722740111,1.068205691045681,1.8323362300610476e-05,0.6603745417471263,0.352145080861264,,
2766.9483815731087,1709.9510665965315,912.7730031962996,0.04743364715413254,1.068338967631462,1.831447741097011e-05,0.6602245887035489,0.3524283193755121,,
2773.9620134077713,1713.6641561563208,915.7269856169552,0.047511338477392556,1.0684792402681553,1.8300495318637642e-05,0.6600719717121508,0.35272122298569586,,
2780.7456099683714,1717.234062852887,918.6055806438621,0.047574578587262516,1.0686149121993673,1.8282472131827868e-05,0.6599172253380535,0.35301165931419193,,
2786.8968313606633,1720.4268795016428,921.2602147452363,0.047619216029161616,1.0687379366272132,1.8261337165453726e-05,0.6597608682984035,0.3532910619166541,,
2792.1311120874816,1723.0778201295434,923.585135720045,0.047642750474450934,1.0688426222417495,1.8237897972438058e-05,0.6596033429880551,0.35355329628073195,,
2796.33077647895,1725.1199903083887,925.5353434393248,0.04764513611572312,1.068926615529579,1.8212850397746716e-05,0.6594451157687092,0.35379554183548184,,
2799.519401211892,1726.5691189773543,927.1174961134242,0.047628363811596824,1.0689903880242377,1.8186787021328745e-05,0.6592866588626906,0.3540177972995357,,
2801.8036944837067,1727.4893228495264,928.36889892553,0.04759552365628433,1.069036073889674,1.8160205814709407e-05,0.6591284061125819,0.3542217624962874,,
2803.3199838921496,1727.9617069432463,929.338033182205,0.04754995276885357,1.069066399677843,1.8133519221331055e-05,0.6589707245115071,0.35440979657212435,,
2804.201744710666,1728.0653841227816,930.072666223643,0.0474947314009945,1.0690840348942132,1.8107063508596126e-05,0.6588139091289308,0.3545842736267837,,
2804.5669286375196,1727.8701253500346,930.6151535049473,0.04743250268525401,1.0690913385727503,1.8081108091889587e-05,0.6586581929380959,0.35474731945157245,,
2804.51509471028,1727.434746840741,931.0013225345591,0.04736545117087341,1.0690903018942055,1.805586448335927e-05,0.6585037600567059,0.35490074089802615,,
2804.129137121092,1726.8081739406243,931.2610505762216,0.047295354247797246,1.0690825827424217,1.8031494627549094e-05,0.658350757837244,0.35504604833556025,,
2803.4788661788434,1726.0315745628589,931.4195348295731,0.04722366126964919,1.0690695773235768,1.8008118485311597e-05,0.6581993066279632,0.35518451750213825,,
2802.6230577234523,1725.139584798799,931.4980147122914,0.04715154576806264,1.069052461154469,1.7985820787305775e-05,0.6580495061159726,0.3553172241427191,,
2801.6112171232453,1724.1613603716667,931.5143971217252,0.04707995076902081,1.0690322243424648,1.7964656974860333e-05,0.6579014400492278,0.355445074561272,,
2800.4857698317733,1723.1218719799901,931.4840434075264,0.047009638641053696,1.0690097153966354,1.7944658375318313e-05,0.6577551801199472,0.3555688455433227,,
2799.2826421209816,1722.0422549581606,931.4199717219396,0.04694121315317274,1.0689856528424195,1.792583665282873e-05,0.6576107880067092,0.3556891939240674,,
2798.0319449019685,1720.9402171538188,931.3330991964505,0.04687514134900574,1.0689606388980393,1.7908187623149044e-05,0.6574683171097709,0.35580666852565507,,
2796.7594268542007,1719.8308942739552,931.2327680048311,0.04681178598722471,1.068935188537084,1.7891694508846387e-05,0.6573278143163187,0.35592173745126626,,
2795.486537069192,1718.7268905154885,931.1267643084336,0.04675141437248149,1.0689097307413837,1.7876330680189983e-05,0.6571893204983854,0.3560347888373282,,
