,q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0,5063.000945429341,3107.482399698497,1702.3481200434674,0.22601310703453945,1.1142600189085867,4.9740731165622684e-05,0.6838915170600516,0.37465101604237955
1,4067.8633839455692,2528.532015224011,1332.2833266601542,0.12404334053158188,1.0943572676789113,3.3370769469214576e-05,0.6802385248088818,0.3584176270255702
2,3561.5949452076466,2215.1104295444534,1163.528973058814,0.09248566002783323,1.0842318989041528,2.8154774570395537e-05,0.6743308613852925,0.35420513766929984
3,3187.8259492577945,1981.7552472188252,1041.1887541334477,0.07302485021811482,1.0767565189851558,2.466570784348397e-05,0.6693802972438715,0.35168381095845086
4,2681.411719353877,1667.795758703311,873.6189093250233,0.053124077209918595,1.0666282343870774,2.113201798473236e-05,0.6634259232120548,0.34751343408204777
5,2450.8319458092733,1523.8158691258366,798.5058969176058,0.04487801671222464,1.0620166389161854,1.944694761770102e-05,0.660313658153249,0.34601578874032846
6,2146.8461726824817,1334.7030617073765,698.928290023413,0.03563117090016946,1.0559369234536495,1.752536788994279e-05,0.6564803117414124,0.3437713412693572
7,1993.575985023588,1239.0513271685636,649.0884119581931,0.03128655906933001,1.0528715197004717,1.6523436899815138e-05,0.6543828093953572,0.34280444179322445
8,1803.589919449633,1120.4910507188051,587.3672007441345,0.02631778099163799,1.0490717983889926,1.530793753988728e-05,0.6517421443645272,0.34164660101193545
9,1547.4318512984419,960.9264473189046,503.96935540426915,0.020454642978836528,1.0439486370259687,1.3799377750103505e-05,0.6482727198092971,0.33999437276393135
10,991.7758281015043,614.9969475620263,323.31390838508656,0.010261229976968367,1.03283551656203,1.0686046648375494e-05,0.6404579260972751,0.3366991593431165
11,740.2936288800621,458.5430402033098,241.64831104227602,0.00669332945170577,1.0278058725776011,9.29285765699109e-06,0.6366301304842176,0.33549870416073657
