q_ch4,q_co2,q_gas,q_h2
1789.108236,993.7072564,2935.336512,0.050609942
1789.273475,993.885406,2935.697638,0.050615883
1789.43665,994.0601876,2936.05305,0.050621659
1789.597779,994.2316658,2936.402835,0.050627272
1789.756718,994.3998016,2936.746803,0.050632717
1789.913534,994.5646885,2937.085121,0.050637999
1790.068251,994.7263917,2937.417883,0.05064312
1790.220735,994.8848735,2937.744908,0.050648076
1790.371056,995.0402268,2938.066369,0.050652872
1790.519244,995.1925174,2938.382365,0.050657509
1790.665171,995.3417077,2938.692723,0.050661985
1790.808912,995.48789,2938.997617,0.050666304
1790.950499,995.6311291,2939.297153,0.050670468
1791.089811,995.7713881,2939.591161,0.050674474
1791.226925,995.9087575,2939.879818,0.050678327
1791.361878,996.0433013,2940.16323,0.050682028
1791.494551,996.1749822,2940.441235,0.050685575
1791.625024,996.3038891,2940.714008,0.050688972
1791.753335,996.4300845,2940.981656,0.050692222
1791.879372,996.5535309,2941.244021,0.050695322
1792.003213,996.6743149,2941.501277,0.050698276
1792.1249,996.7924977,2941.753532,0.050701086
1792.244322,996.9080412,2942.000629,0.050703751
1792.36156,997.0210295,2942.242742,0.050706274
1792.476656,997.1315223,2942.479978,0.050708656
1792.589502,997.2394805,2942.712182,0.050710898
1792.700178,997.3449863,2942.939525,0.050713001
1792.808729,997.4480972,2943.162114,0.050714969
1792.915048,997.5487736,2943.379796,0.050716799
1793.019215,997.6470948,2943.592737,0.050718495
1793.121275,997.7431169,2943.801045,0.05072006
1793.221123,997.8367992,2944.004567,0.050721491
1793.31884,997.9282187,2944.203467,0.050722792
1793.41447,998.0174293,2944.397849,0.050723965
1793.507911,998.1043896,2944.587563,0.050725009
1793.599241,998.1891738,2944.772768,0.050725926
1793.688506,998.2718344,2944.953567,0.05072672
1793.775603,998.3523288,2945.12981,0.050727387
1793.860612,998.4307289,2945.301654,0.050727933
1793.943577,998.5070849,2945.469197,0.050728358
1794.024398,998.5813538,2945.632292,0.050728661
1794.103151,998.6536047,2945.79109,0.050728845
1794.179881,998.7238859,2945.945689,0.050728912
1794.25449,998.7921537,2946.09594,0.050728862
1794.327053,998.8584746,2946.241991,0.050728695
1794.397613,998.9228951,2946.383938,0.050728416
1794.466073,998.9853707,2946.521631,0.050728021
1794.532507,999.0459654,2946.655215,0.050727515
1794.596958,999.1047239,2946.784782,0.050726898
1794.659329,999.1616008,2946.910184,0.05072617
1794.719693,999.2166579,2947.031561,0.050725333
1794.778091,999.2699378,2947.149002,0.050724389
1794.83443,999.3213947,2947.262359,0.050723337
1794.888777,999.3710878,2947.371768,0.050722179
1794.941175,999.419058,2947.477315,0.050720917
1794.99153,999.4652587,2947.578852,0.050719549
1795.03991,999.5097467,2947.676511,0.050718078
1795.086353,999.5525611,2947.770374,0.050716507
1795.130769,999.5936549,2947.860294,0.050714832
1795.173222,999.6330823,2947.946399,0.050713058
1795.213751,999.6708808,2948.028766,0.050711185
1795.252265,999.7070027,2948.107252,0.050709211
1795.288826,999.7415,2948.181975,0.05070714
1795.323472,999.7744083,2948.253013,0.050704973
1795.356113,999.8056794,2948.320221,0.050702709
1795.386809,999.8353629,2948.383714,0.050700349
1795.415596,999.8634927,2948.443565,0.050697895
1795.442384,999.8900202,2948.49963,0.050695346
1795.467231,999.9149926,2948.552018,0.050692704
