t,X_T,S_1,S_2,X_1,X_2,C,Z,CO2,B,pH,p_C,q_C,q_CH4
0.0,11.306162423,1.0493297959999999,8.739459825652471,0.7310634812903225,0.6280579012903226,53.940968,52.37798582565247,10.0,43.638526,6.933461639174002,0.0,0.0,0.0
0.020833333,11.30616242304303,1.0493303823234568,8.73944915911828,0.7310634585672298,0.6280580250953148,53.9413468217915,52.37800497799918,10.302791002910599,43.6385558188809,6.933445895614126,0.37930125301218437,16.3991897681209,29.959411655643923
0.041666667,11.306162423121975,1.0493303776458274,8.739445238760062,0.7310634587270827,0.6280580362121223,53.93954138411431,52.37790599281286,10.3010806300615,43.6384607540528,6.9335170503644,0.37986366435822644,16.511069282345648,30.120774913822068
0.0625,11.306162423201199,1.0493303720159919,8.73945069728313,0.7310634589314121,0.6280580275608568,53.9398715615622,52.377924439069034,10.3013978197763,43.6384737417859,6.933503809760992,0.3797591302191942,16.48963356577591,30.089461008921557
0.083333333,11.306162423275518,1.0493303664753657,8.739454260219858,0.7310634591282632,0.628058022433941,53.9403470008046,52.377950704105054,10.301850556919401,43.638496443885195,6.933484949164149,0.37961253960312213,16.460381927754245,30.04723417838998
0.104166667,11.306162423347715,1.0493303609294455,8.73945523872583,0.7310634593237774,0.6280580223142218,53.9409090374197,52.377981465833834,10.3023828103117,43.638526227108,6.933462807901732,0.37943934622260844,16.425972661985913,29.997620075902326
0.125,11.306162423421288,1.0493303553873494,8.739453263682693,0.7310634595180306,0.6280580280066289,53.9413528630432,52.37800549882079,10.302800627905,43.6385522351381,6.933445454196112,0.3793013899034648,16.39865717685232,29.95826346849699
0.145833333,11.306162423499508,1.0493303498120676,8.739449031401843,0.7310634597132519,0.6280580381135391,53.9395544180831,52.37790688032794,10.301096569156899,43.6384578489261,6.9335163494793335,0.37986448981596294,16.51100694236474,30.12053092737471
0.166666667,11.306162423577465,1.0493303435420676,8.7394541719242,0.7310634599427985,0.6280580287145207,53.9398852484808,52.3779253454649,10.30141407494,43.6384711735407,6.933503098903897,0.3797600642879009,16.48970765127837,30.08949170464071
0.1875,11.306162423650104,1.049330337495991,8.739457441586618,0.7310634601595494,0.6280580229881589,53.9403599236475,52.37795155217702,10.301865813057,43.6384941105904,6.933484282792317,0.3796135307819657,16.460491124328218,30.047331789956765
