time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2,T
0.0,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.0208333329999999,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.0416666659999998,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.062499998999999695,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.0833333319999996,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.10416666499999949,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.12499999799999939,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.1458333309999993,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.1666666639999992,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.18749999699999909,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.20833332999999898,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.22916666299999888,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.24999999599999878,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.2708333289999987,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.2916666619999986,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.3124999949999985,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.3333333279999984,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
0.3541666609999983,0,0,0,0,0,0,0,0,0,0,0,4.65,34.24,3.49,3.26,0.09,0,0,0,0,0,0,0,3.88,0,0,290.65,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
