q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
2800.149486,1704.712545,949.5777346,0.042956362,1.06900299,1.64E-05,0.650801972,0.362516874
2801.359203,1705.41058,950.0297048,0.042973915,1.069027184,1.64E-05,0.650802035,0.362541005
2796.988783,1702.873859,948.4117421,0.042910047,1.068939776,1.64E-05,0.650796175,0.362459457
2800.263192,1704.778395,949.619977,0.042957994,1.069005264,1.64E-05,0.650802069,0.362519051
2802.825174,1706.260802,950.5730974,0.042995332,1.069056503,1.64E-05,0.650803776,0.362568583
2799.62917,1704.402142,949.3935041,0.042948575,1.068992583,1.64E-05,0.650798066,0.362510373
2805.686792,1707.918443,951.6358435,0.043037196,1.069113736,1.64E-05,0.650806452,0.362623139
2802.520569,1706.074458,950.4698703,0.042990815,1.069050411,1.64E-05,0.65079972,0.362566547
2799.111952,1704.098876,949.205084,0.04294109,1.068982239,1.64E-05,0.650796204,0.362501891
2801.356467,1705.405068,950.0326165,0.042973946,1.069027129,1.64E-05,0.650800534,0.362542451
2796.921341,1702.831178,948.3903108,0.042909069,1.068938427,1.64E-05,0.650794734,0.362459549
2800.174419,1704.723617,949.5903645,0.04295668,1.069003488,1.64E-05,0.650800708,0.362518636
2801.50781,1705.493479,950.0880774,0.042976051,1.069030156,1.64E-05,0.650800956,0.362545056
2800.702161,1705.023472,949.7922021,0.042964258,1.069014043,1.64E-05,0.650798953,0.362530945
2812.76802,1712.021189,954.2649076,0.043140606,1.06925536,1.64E-05,0.650813654,0.362757561
2807.773255,1709.111178,952.4266074,0.043067495,1.069155465,1.64E-05,0.650802394,0.362668927
2802.396815,1705.996555,950.430127,0.042989152,1.069047936,1.64E-05,0.650797234,0.362566557
2799.140668,1704.114957,949.2163008,0.04294166,1.068982813,1.64E-05,0.650796018,0.362502651
2801.413328,1705.438483,950.0532555,0.042974845,1.069028267,1.64E-05,0.650800768,0.362543354
2793.757314,1700.994473,947.2191959,0.042862798,1.068875146,1.64E-05,0.650790499,0.362400503
2798.560798,1703.791352,948.988661,0.042933143,1.068971216,1.64E-05,0.650800195,0.362486877
2800.928241,1705.16084,949.8697543,0.042967581,1.069018565,1.64E-05,0.650801605,0.362532816
2769.641773,1686.996982,938.292336,0.04250998,1.068392835,1.64E-05,0.650761231,0.361947462
2775.658295,1690.528095,940.4804569,0.042598524,1.068513166,1.64E-05,0.650783106,0.362045916
2780.43289,1693.300554,942.2467189,0.042667944,1.068608658,1.64E-05,0.650789177,0.362135337
2784.941621,1695.912095,943.9212079,0.042733667,1.068698832,1.64E-05,0.650792556,0.362222132
2789.766195,1698.70538,945.7142371,0.042804163,1.068795324,1.64E-05,0.650795888,0.362315292
2795.914539,1702.265833,947.9985575,0.042894071,1.068918291,1.64E-05,0.65080068,0.362433466
2798.41138,1703.704999,948.9329721,0.042930584,1.068968228,1.64E-05,0.650800138,0.362483945
2800.91991,1705.155116,949.8675591,0.042967351,1.069018398,1.64E-05,0.650801254,0.362533
2770.111905,1687.268641,938.4675765,0.042516859,1.068402238,1.64E-05,0.650761288,0.361956807
2776.059655,1690.759038,940.6310443,0.042604429,1.068521193,1.64E-05,0.650782796,0.362054253
2780.80296,1693.513184,942.3858793,0.042673409,1.068616059,1.64E-05,0.650788787,0.362143129
2785.31504,1696.126614,944.0616657,0.042739186,1.068706301,1.64E-05,0.650792163,0.362229994
2790.197042,1698.953158,945.8760309,0.042810519,1.068803941,1.64E-05,0.650795554,0.362324242
2792.201581,1700.10868,946.626069,0.042839832,1.068844032,1.64E-05,0.650795067,0.36236482
2794.627309,1701.511788,947.5289225,0.042875371,1.068892546,1.64E-05,0.650796356,0.362412047
2799.629731,1704.410305,949.3858749,0.042948558,1.068992595,1.64E-05,0.650801059,0.362507391
2801.582267,1705.53574,950.1165985,0.042977089,1.069031645,1.64E-05,0.650800692,0.362546809
2800.688996,1705.013405,949.7897539,0.042964093,1.06901378,1.64E-05,0.65079801,0.362531626
2838.951639,1727.195337,963.9831715,0.043523077,1.069779033,1.64E-05,0.650844957,0.36324993
2831.269504,1722.69566,961.1794166,0.043410354,1.06962539,1.64E-05,0.650817245,0.363124
2823.673522,1718.293038,958.3606179,0.043300014,1.06947347,1.64E-05,0.650807823,0.362981502
2818.889271,1715.529507,956.5758669,0.043230459,1.069377785,1.64E-05,0.650805679,0.362887962
2814.203707,1712.821295,954.8296568,0.043162048,1.069284074,1.64E-05,0.650803113,0.362796816
2810.20599,1710.512637,953.3378403,0.043103637,1.06920412,1.64E-05,0.650801815,0.36271816
2804.396528,1707.15258,951.1751194,0.043018717,1.069087931,1.64E-05,0.650798202,0.362605584
2801.023148,1705.204883,949.9159329,0.042969353,1.069020463,1.64E-05,0.650797519,0.3625388
2799.774935,1704.486323,949.4478929,0.042950992,1.068995499,1.64E-05,0.6507981,0.362513255
2800.910941,1705.147347,949.8668013,0.042967477,1.069018219,1.64E-05,0.650800264,0.36253381
2788.6935,1698.056629,945.3432644,0.042788755,1.06877387,1.64E-05,0.650784518,0.362305208
2795.093489,1701.785317,947.6985577,0.042882505,1.06890187,1.64E-05,0.650798091,0.362419634
2800.625996,1704.991114,949.7521546,0.042963162,1.06901252,1.64E-05,0.650803374,0.362525002
2808.826114,1709.739726,952.7989636,0.043082899,1.069176522,1.64E-05,0.650810517,0.362681861
2803.544308,1706.664938,950.8526019,0.043005673,1.069070886,1.64E-05,0.650799701,0.362587041
2800.305529,1704.790227,949.6483934,0.042958557,1.069006111,1.64E-05,0.650797261,0.362524705
2808.223646,1709.38716,952.5787909,0.043074328,1.069164473,1.64E-05,0.650808572,0.362671756
2802.686112,1706.166896,950.5348039,0.042993254,1.069053722,1.64E-05,0.650798555,0.362571023
2799.979928,1704.602011,949.5270796,0.042953842,1.068999599,1.64E-05,0.650797117,0.362518337
2801.380014,1705.417851,950.042217,0.042974308,1.0690276,1.64E-05,0.650800228,0.362543227
2793.811055,1701.025146,947.2396104,0.042863581,1.068876221,1.64E-05,0.65079037,0.362401707
2798.657405,1703.846938,949.0249129,0.042934555,1.068973148,1.64E-05,0.650800138,0.362488866
2800.959657,1705.17855,949.8819104,0.04296804,1.069019193,1.64E-05,0.650801447,0.362533602
2783.389796,1694.978518,943.3796058,0.042711095,1.068667796,1.64E-05,0.65077804,0.362205612
2788.691686,1698.076439,945.321729,0.042788939,1.068773834,1.64E-05,0.650792512,0.362297178
2794.5632,1701.481584,947.4981827,0.042874536,1.068891264,1.64E-05,0.650798952,0.362408168
2799.329967,1704.240268,949.2709453,0.042944092,1.068986599,1.64E-05,0.650802167,0.362500288
2801.322476,1705.388594,950.0167774,0.042973197,1.06902645,1.64E-05,0.65080173,0.362540575
2795.282151,1701.880719,947.7825041,0.042884988,1.068905643,1.64E-05,0.650792945,0.362428554
2801.93049,1705.745614,950.2377604,0.042982372,1.06903861,1.64E-05,0.650804125,0.362550341
2799.970389,1704.602102,949.5179209,0.042953587,1.068999408,1.64E-05,0.650799253,0.362516011
2801.468027,1705.471224,950.0725126,0.042975526,1.069029361,1.64E-05,0.650801221,0.362543995
2800.665736,1705.00373,949.7773169,0.042963782,1.069013315,1.64E-05,0.650799439,0.362529732
2917.122666,1772.431118,993.0710372,0.044662701,1.071342453,1.64E-05,0.650943042,0.364715263
2825.647789,1719.344846,959.1857174,0.043327024,1.069512956,1.64E-05,0.650775229,0.363053582
2821.35904,1716.943023,957.5102999,0.043267169,1.069427181,1.64E-05,0.650801798,0.362941237
2817.109359,1714.502263,955.9109981,0.043204958,1.069342187,1.64E-05,0.650805264,0.362852778
2812.073189,1711.593029,954.0325178,0.043131057,1.069241464,1.64E-05,0.650803202,0.362754117
2807.569258,1708.991843,952.3520122,0.0430651,1.069151385,1.64E-05,0.650801753,0.362665487
2802.215603,1705.894977,950.3594376,0.042986738,1.069044312,1.64E-05,0.650798361,0.362561806
2798.868233,1703.961508,949.110763,0.042937728,1.068977365,1.64E-05,0.650797441,0.36249578
2801.174693,1705.30511,949.9597716,0.042971335,1.069023494,1.64E-05,0.650802405,0.362536944
2799.437019,1704.29473,949.3182509,0.042945773,1.06898874,1.64E-05,0.65079938,0.362505216
2801.623044,1705.563975,950.1271281,0.042977715,1.069032461,1.64E-05,0.65080249,0.362545826
2795.180086,1701.823132,947.7430649,0.042883476,1.068903602,1.64E-05,0.650793444,0.362426014
2801.606555,1705.559945,950.1154822,0.042977565,1.069032131,1.64E-05,0.650804582,0.362543405
2800.749192,1705.056888,949.8034958,0.042964888,1.069014984,1.64E-05,0.650801352,0.362529487
2801.670709,1705.5919,950.144516,0.042978415,1.069033414,1.64E-05,0.650802653,0.362546616
2796.93358,1702.843293,948.3898301,0.042909194,1.068938672,1.64E-05,0.650796666,0.362457862
2800.207616,1704.748355,949.5971854,0.042957134,1.069004152,1.64E-05,0.65080284,0.362517168
2801.832213,1705.687167,950.202781,0.042980763,1.069036644,1.64E-05,0.650803455,0.362549045
2800.088334,1704.672136,949.5600098,0.042955244,1.069001767,1.64E-05,0.650800013,0.362517609
2801.649275,1705.578323,950.1377158,0.042978106,1.069032985,1.64E-05,0.650802191,0.36254665
2797.532928,1703.189167,948.6137157,0.042917941,1.068950659,1.64E-05,0.650796695,0.36246982
2800.775747,1705.075699,949.8099282,0.042965431,1.069015515,1.64E-05,0.650802685,0.362528685
2883.398044,1752.936508,980.4994875,0.044171313,1.070667961,1.64E-05,0.65090318,0.364080634
2846.279434,1731.344595,966.8005774,0.043628661,1.069925589,1.64E-05,0.650817999,0.363423445
2823.325769,1718.069091,958.2539628,0.043295104,1.069466515,1.64E-05,0.650798921,0.362983449
2819.013187,1715.602651,956.6205267,0.043232658,1.069380264,1.64E-05,0.650806326,0.362889793
