S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
0.016216328,0.006449207,0.010332546,0.013470695,0.017963736,0.023338516,0.091832659,3.05e-07,0.058542407,0.08501222,0.078955942,9.265408057,4.141646626,0.83497672,1.892388111,0.01792763,1.108670044,0.900063919,0.037845672,0.380730664,0.175949615,0.733471452,0.335583967,16.18074819,6.82e-68,0.000698997,7.186897599371613,0.013407534,0.017886887,0.023223954,0.091490304,0.07511809,0.01,0.001325454,0.057517059,1.28e-05,1.687058668,0.014141296
0.01622392158522198,0.006412284658465353,0.010355219250676695,0.013455112101647133,0.017945322945798054,0.023319575793737175,0.0917491777025083,3.047569887468219e-07,0.058822723323536226,0.0850280565664232,0.07895940480912893,9.264119228875071,4.145014882914779,0.8366015359230479,1.8769704659893258,0.02003361113672338,1.108724606316615,0.8999160721997974,0.037780110455600646,0.38068642173943285,0.17594447553062711,0.7333924005020438,0.33555462266824815,16.17617171658984,6.809810947143896e-68,0.0006979527012640384,7.186556778456354,0.013391974544364095,0.01786849290136369,0.023205017887380625,0.09140686581720593,0.07512522560401906,0.009902830962404144,0.0013244910664921609,0.07763491374263677,1.248971665143707e-05,1.6541192076856752,0.01380957117424788
0.016249290710373468,0.006360979010772265,0.010394306887090659,0.013417702357217062,0.017905540774694598,0.023300722818504805,0.09162250552588787,3.044975206620316e-07,0.058666657790835186,0.08502462158037306,0.07896192739540459,9.262836856892585,4.148343122538332,0.838197700244034,1.8617371165833032,0.022120730435677867,1.1087815632923326,0.8997569036379178,0.0377146823434053,0.3806411103049333,0.17593913987874893,0.7333128018005647,0.33552481356327774,16.171613232753312,6.799637116692206e-68,0.000696909962706232,7.186950798716775,0.013354797176240912,0.017828950276709492,0.0231863608269947,0.09128097510739674,0.07513012611888881,0.009894495461484257,0.0013257155065332811,0.0776362118888713,1.2468884958083066e-05,1.6512239588829536,0.013887119004063456
0.016279051149790783,0.006309638646898592,0.0104494653247757,0.013362710862056171,0.017848895843794937,0.023281029725958517,0.09147004249101841,3.042114062206539e-07,0.0586179567233001,0.08503555596964125,0.07896343379698291,9.261560877575501,4.151631813727442,0.8397658072413122,1.846685859919625,0.024189151753109095,1.1088421712359355,0.8995854416272681,0.03764939763638309,0.380593963282737,0.17593360635161917,0.7332314746413761,0.33549450814558973,16.167072579105522,6.789478485902719e-68,0.0006958687819956809,7.186779103381879,0.013300038828037104,0.017772517570950754,0.023166719411424494,0.09112894601827003,0.07513632924136711,0.009899226728274146,0.0013252253747584077,0.0776382084222245,1.2466475009533922e-05,1.6500502325367772,0.013813633454050872
0.016309558628109663,0.006258974218553435,0.010520357094854348,0.013295438398895864,0.01778037251600014,0.02325910975158086,0.0912806345926428,3.038887871787482e-07,0.058595446230604226,0.08503580610847665,0.07896393266391664,9.260291228172033,4.154881419541373,0.8413064372059917,1.8318145194615394,0.026239037584159186,1.1089067138409638,0.8994018035077294,0.03758426602982284,0.38054442243049835,0.17592785921776846,0.7331488151946265,0.335463655238238,16.16254959805153,6.7793350320671995e-68,0.0006948291568049672,7.1870037095575094,0.013233113968690906,0.017704326638182253,0.02314496582515286,0.0909404197800225,0.0751410732396553,0.009894732868821352,0.001325907823736893,0.07763802484017975,1.246478050009189e-05,1.6499543441648834,0.013870746743128349
0.01633982628763046,0.006209010513373251,0.01060665075031916,0.01321975446721942,0.01770355083476314,0.02323407670789591,0.09106637749060649,3.035315285311726e-07,0.058573421751726314,0.08503840005196306,0.07896344419182824,9.259027846646951,4.158092397368025,0.8428201567958122,1.817120944683211,0.028270549073260376,1.1089752106273132,0.8992061593616637,0.03751929694629376,0.3804920991510741,0.17592187017087924,0.7330640818968809,0.33543218475000275,16.158044133764882,6.769206732511338e-68,0.0006937910848101509,7.1871187681439,0.013157801153053568,0.017627853488059536,0.02312008568151064,0.09072705080221219,0.07514568119792954,0.00989271885403352,0.0013262449821711832,0.07763719920965706,1.2457786216433503e-05,1.6497575232949628,0.013894362483141878
0.016369593757558056,0.006159738632006961,0.010708021038450385,0.013138410391293244,0.01762103024337149,0.02320561600879286,0.09082698861058956,3.0314504720980015e-07,0.058552413975788406,0.08504948883034655,0.07896198464645775,9.257770671672729,4.161265198899896,0.8443075193788566,1.8026030107587458,0.030283846024365343,1.1090476100581954,0.8989986798581028,0.03745449952464527,0.38043672614329777,0.17591560390047023,0.7329771844882845,0.33540003016895065,16.15355603216581,6.759093564594704e-68,0.0006927545636907631,7.186889216542417,0.013076805891874316,0.01754564607979288,0.023091704723748333,0.09048837567247102,0.07515085824694731,0.009898630583399237,0.0013255314901658975,0.07763645315629185,1.244571193121458e-05,1.6491867359409222,0.01381080509810756
0.016398798651282024,0.006111148077776981,0.010824148887905486,0.013053364972008088,0.017534714858657874,0.023173810001887327,0.09055775871598197,3.027352463128588e-07,0.058531387026629314,0.0850468493895024,0.07895956825433809,9.256519642620976,4.164400270413331,0.8457690653688892,1.7882586182550055,0.032279086911185,1.1091238423701009,0.8987795337105163,0.03738988262013452,0.380378123550974,0.17590902340673012,0.7328882855098983,0.3353671354025353,16.149085140900212,6.748995505710685e-68,0.0006917195911298025,7.187166033430537,0.01299219805958803,0.017459747555790904,0.023060126977069866,0.09022036382628291,0.0751540997296709,0.009892749659831501,0.0013263218979956697,0.07763324635634242,1.2436655018692678e-05,1.6492563712780375,0.013887566018610334
0.016427431641829037,0.006063228071131304,0.010954721325390363,0.012966016345525784,0.017445998510306135,0.023138967151720587,0.0902736865275909,3.0230750151328757e-07,0.058505907815305146,0.08505644781458482,0.0789562141468708,9.2552746995541,4.16749805270913,0.8472053225522241,1.7740856928281306,0.03425642888739801,1.10920383403351,0.8985488875966269,0.037325454808783874,0.3803161749051728,0.1759020935243887,0.7327965890767734,0.33533345575132506,16.144631309319017,6.738912533286448e-68,0.0006906861648137285,7.186948167116833,0.012905228394777618,0.01737137323276795,0.023025398371646574,0.0899371818674821,0.07515819452476458,0.009898253289820247,0.0013256115169785118,0.0776306026298923,1.2422060150687901e-05,1.6486454893741418,0.013809949896519342
0.016455499117096862,0.0060159686838753695,0.011099431391956821,0.01287736430381675,0.01735589794258506,0.0231015015890452,0.0899660843615094,3.018665099964817e-07,0.058481036418666664,0.08505222210458806,0.07895193406104636,9.254035783216855,4.170558981269698,0.8486168064054052,1.7600821849236232,0.036216027796725385,1.1092875114532013,0.898306906092383,0.03726122439176484,0.38025080960731705,0.17589478279823806,0.7327025052629434,0.33529895682654787,16.140194388457452,6.728844624782883e-68,0.0006896542824324577,7.187235994973903,0.01281703178974256,0.01728170704927644,0.022988191451486586,0.0896309476917727,0.07516025582401915,0.009891966280568903,0.001326403740078248,0.07762553032096811,1.241161671332724e-05,1.64868465946303,0.013893440368933955
