t,X_T,S_1,S_2,X_1,X_2,C,Z,CO2,B,pH,p_C,q_C,q_CH4
0.0,0.46870192200000005,0.115890909,3.367462836401099,1.18862694,1.0624585387096772,152.669423,146.1372918364011,10.0,142.769829,7.465549965369592,0.3673364588985,11.04878228329847,19.834279154905264
0.020833333,0.4687019221135184,0.1158909677092447,3.367466594747832,1.1886269389710449,1.0624585934364736,152.6696123019322,146.13735141052592,9.899727486154,142.76988481577808,7.465543785594303,0.3673364588985,11.04878228329847,19.834279154905264
0.041666667,0.4687019222583923,0.115890965520013,3.3674681466456233,1.1886269402959302,1.0624585935683228,152.6699571687171,146.1374542585627,9.8999710567999,142.7699861119171,7.465533408523873,0.367236785496,11.02601866831877,19.798561468356457
0.0625,0.46870192241821235,0.1158909633536419,3.367464245541017,1.1886269416185344,1.0624586046124018,152.6698180628448,146.1374195642214,9.8998627441644,142.7699553186804,7.465538066432427,0.36728913708375,11.038250704856443,19.817863890838645
0.083333333,0.4687019225922201,0.11589096121660769,3.367462917946159,1.1886269429384528,1.0624586100849505,152.6696882180008,146.13738827320688,9.899762862740099,142.7699253552607,7.465542356982805,0.36733537168124997,11.048499443759939,19.833821484883277
0.104166667,0.4687019227750625,0.11589095912486819,3.3674638608190994,1.1886269442548951,1.0624586106793492,152.6713072052821,146.13784850216692,9.900922563934198,142.77038464134782,7.465492880053192,0.3668432371695,10.936693794441052,19.658430821789906
0.125,0.46870192298070223,0.1158909571024638,3.367439208078014,1.188626945566677,1.0624586639614855,152.6710692513679,146.1377795111783,9.9007289482676,142.77034030310028,7.465501239866332,0.36693439319250004,10.959698382044978,19.695450181574806
0.145833333,0.46870192322087606,0.1158909551364647,3.367420016519236,1.1886269468745643,1.0624587058441297,152.67080686770828,146.13770541095596,9.900521473271501,142.7702853944367,7.465510173796672,0.367022556075,10.979638164730558,19.726713811884526
0.166666667,0.46870192348698597,0.11589095323677541,3.3674063318737475,1.1886269481780842,1.0624587362629807,152.6705125147261,146.13762406014564,9.9002947864541,142.7702177282719,7.4655199118672995,0.36711732636075,11.000662816243407,19.759501396013867
0.1875,0.4687019237705251,0.1158909514065825,3.367398315016706,1.1886269494771078,1.06245875490992,152.67040320800578,146.1375964089938,9.9002051140286,142.7701980939771,7.465523785865422,0.367157354802,11.009159609609972,19.77259366422562
0.208333333,0.4687019240652914,0.1158909496489401,3.3673926754592722,1.1886269507715037,1.062458768595603,152.670268069195,146.1375622500965,9.9000984945577,142.7701695746372,7.465528376232426,0.367204341231,11.019468360781527,19.788613941162172
0.229166667,0.4687019243672442,0.1158909479632705,3.3673896734686557,1.18862695206132,1.062458776795479,152.66996771033,146.13748254618454,9.899874837614,142.77009287271588,7.465537954282145,0.3672934727805,11.039375084028359,19.81968024074978
0.25,0.4687019246706624,0.1158909463476998,3.36739176268867,1.188626953346661,1.0624587744553535,152.6698401073703,146.13745291379385,9.899778956265,142.77006115110518,7.465542064054506,0.36733740831375,11.04882162265805,19.83427117560226
0.270833333,0.46870192497038676,0.11589094480290521,3.3673958832170405,1.1886269546274884,1.0624587679011246,152.6704057960726,146.13761848598563,9.900183193303901,142.7702226027686,7.465524821803245,0.3671685998505,11.010186202772589,19.773606744915508
0.291666667,0.46870192527084775,0.11589094333187511,3.3673909151047634,1.1886269559036389,1.062458780090564,152.67027678373248,146.13758622997025,9.9000814688669,142.7701953148655,7.465529201411844,0.36721722673125,11.02196635137504,19.792362084981903
0.3125,0.4687019255760789,0.1158909419248616,3.367388445777027,1.188626957175617,1.0624587871030158,152.6699332736963,146.13749456081854,9.8998271586548,142.7701061150415,7.465540086161745,0.36731842203525,11.04481006529678,19.82810462833903
0.333333333,0.4687019258803268,0.1158909405801164,3.367391718681343,1.188626958443492,1.0624587822484977,152.66986415703659,146.13748169070394,9.899774185014001,142.7700899720226,7.465542361044929,0.3673434016875,11.049952642331542,19.83595259852392
0.354166667,0.4687019261789338,0.1158909392985543,3.3673960211212,1.188626959707194,1.0624587752609165,152.6699590094725,146.13751515753282,9.8998398730609,142.7701191364116,7.465539568090566,0.36731777456849996,11.043893885448611,19.82636811798443
0.375,0.4687019264722005,0.11589093807841021,3.367398688446222,1.1886269609667932,1.0624587716425984,152.6698836945901,146.13750034834143,9.899782034694901,142.7701016598952,7.465542052239138,0.36734849529525,11.050878411301271,19.83731222057566
0.395833333,0.4687019267603379,0.1158909369154714,3.36740252169789,1.188626962222489,1.06245876561202,152.66994144143382,146.1375232428691,9.8998207202625,142.7701207211712,7.465540413127064,0.36733382242199997,11.04739042649104,19.831787576833243
0.416666667,0.4687019270432015,0.1158909358089201,3.3674053375729063,1.1886269634742985,1.0624587616773697,152.6650002406825,146.1361429139029,9.8962626643524,142.76873757632998,7.465692304008847,0.3688514865105,11.392142193530104,20.36960389325343
0.4375,0.46870192726889165,0.11589093471883169,3.3674864693503137,1.1886269647242849,1.062458596094929,152.666802347773,146.13667949167655,9.8976093254467,142.76919302232622,7.4656346109147504,0.36825100922924997,11.248042983622218,20.14229677920457
0.458333333,0.46870192740857747,0.1158909337118792,3.3675340442814097,1.1886269659688762,1.0624584998363367,152.66828251754612,146.1371153756563,9.898701186171198,142.7695813313749,7.465587886194447,0.36779522708775003,11.146113194329251,19.98385430689135
0.479166667,0.4687019275025732,0.1158909327625061,3.3675552899009586,1.1886269672094292,1.0624584579575858,152.66860444455278,146.13721783253476,9.898941901918901,142.7696625426338,7.465577573831188,0.3677001872775,11.127087389622952,19.955127222562385
