q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5046.8309438640335,3098.39533582129,1696.0003645205734,0.22547354194011202,1.1139366188772806,4.9766524329573355e-05,0.6838778755856991,0.3743412316922619
5076.43545354951,3115.083486184814,1707.5709176753653,0.22659889964264746,1.11452870907099,4.974966812964001e-05,0.6839149257927346,0.3748962885351359
5070.7203637254115,3111.845009474881,1705.354040888763,0.2263391476595172,1.1144144072745081,4.974354509596405e-05,0.6839037972932631,0.37479312136115894
5062.976061245161,3107.477920552395,1702.3288433363807,0.22601499758508403,1.1142595212249031,4.9741369493433344e-05,0.6838935871089447,0.3746484476714751
5053.872462439191,3102.3468416945852,1698.7702451305463,0.22563984902626122,1.1140774492487837,4.974012884581818e-05,0.6838824449503429,0.3744775190946049
5046.648705656931,3098.2765905755023,1695.9452840563301,0.22534300181192635,1.1139329741131385,4.973934482948445e-05,0.6838741228998673,0.37434136679345165
5076.402228899113,3115.0582531635787,1707.5644704891422,0.2265627688689689,1.1145280445779822,4.97420315364698e-05,0.6839134542728738,0.37489710319858177
5070.731705735154,3111.8481840189656,1705.3617027940734,0.2263297052343154,1.114414634114703,4.974136875802633e-05,0.6839031044556566,0.37479404321529824
5062.998464874413,3107.4880155177675,1702.3401364204835,0.22601302077336027,1.1142599692974882,4.974073433656547e-05,0.6838930575992241,0.37464942588893735
5053.894210536436,3102.356802884536,1698.7810439382604,0.22563984290542197,1.1140778842107286,4.9739932872681046e-05,0.6838819648853524,0.37447843431751343
5046.6650424568215,3098.2836526876054,1695.9538159552435,0.22534334990806035,1.1139333008491363,4.97392752393345e-05,0.6838736684860439,0.374342148012863
5076.397974628421,3115.053820113983,1707.5648427276199,0.22656244217953098,1.1145279594925683,4.9741997700345534e-05,0.6839130019342692,0.37489747048560873
5070.723630632468,3111.841727650643,1705.360451151678,0.22632927668205743,1.1144144726126493,4.9741346577584554e-05,0.6839026755124653,0.3747943106786164
5062.987166589228,3107.479858580159,1702.3375087732727,0.22601248022150916,1.1142597433317845,4.97407162837138e-05,0.6838926498727075,0.3746496076678031
5053.884150332077,3102.349452969846,1698.7787912048864,0.22563936306581991,1.1140776830066415,4.973991712551335e-05,0.683881582488286,0.3744786155262398
5046.658642039881,3098.2784676557817,1695.9528917659984,0.22534302677222973,1.1139331728407975,4.97392612805047e-05,0.6838733127440356,0.3743423757604914
5076.40540665516,3115.0565182956902,1707.5692389289104,0.22656269115159736,1.114528108133103,4.974198617228117e-05,0.683912684261237,0.37489793681070377
5070.733859639187,3111.846085884689,1705.3658570911782,0.22632964487757964,1.1144146771927836,4.974133628723961e-05,0.6839023792744614,0.374794811507045
5062.999733073292,3107.4856176443595,1702.343744964234,0.2260129486622141,1.1142599946614657,4.9740707139424065e-05,0.6838923741410479,0.3746501347382884
5053.895454434565,3102.3545790847193,1698.7844551800258,0.22563978369073995,1.1140779090886912,4.973990868782797e-05,0.6838813216220597,0.3744791024829535
5046.667147811135,3098.282089809305,1695.9573885219154,0.2253433361335693,1.1139333429562226,4.973925332901083e-05,0.6838730640715183,0.37434279455638525
5076.403325190137,3115.054231319007,1707.5695390557198,0.22656256911640824,1.1145280665038027,4.974197791701013e-05,0.6839124370316704,0.3748981424192253
5070.729562132093,3111.842619607337,1705.3652212068362,0.226329434877312,1.1144145912426417,4.9741328454701626e-05,0.6839021443460691,0.37479496049312794
5062.993728456344,3107.481251907369,1702.3423790871238,0.22601267106691902,1.1142598745691268,4.9740699677074465e-05,0.683892150708216,0.3746502380862436
5053.8902462288315,3102.350721377663,1698.7833415542268,0.22563954098601208,1.1140778049245765,4.973990179416003e-05,0.6838811120517772,0.3744792078960152
5046.663536438634,3098.2791872436205,1695.9568440123048,0.22534316099624127,1.1139332707287726,4.973924703964772e-05,0.6838728684323367,0.37434291797440605
5076.407441034714,3115.055731349313,1707.5719678778382,0.22656271260608846,1.1145281488206942,4.9741972764343364e-05,0.6839122623747456,0.3748983993981942
5070.735314409414,3111.8450873960965,1705.3682442914057,0.22632964723264767,1.1144147062881882,4.9741323832923595e-05,0.6839019814799315,0.3747952384094335
5063.000561088138,3107.4843739330568,1702.3457791016704,0.22601292955863223,1.1142600112217627,4.974069553967031e-05,0.6838919987450942,0.37465052670613885
5053.896469212238,3102.353542735359,1698.7864602090654,0.22563977617262815,1.1140779293842447,4.973989794933595e-05,0.6838809683110149,0.37447947610029036
5046.668399475995,3098.2812821682046,1695.9593909390462,0.22534334193347003,1.1139333679895198,4.973924339075416e-05,0.6838727315594717,0.3743431521116672
5076.406268899869,3115.0544562235036,1707.5721241460335,0.22656264725305333,1.1145281253779973,4.974196885513355e-05,0.6839121259492005,0.3748985123849516
5070.732958085411,3111.8431830618106,1705.3678994070506,0.22632953464129135,1.1144146591617081,4.9741320099163115e-05,0.6839018518391675,0.3747953209274514
5062.997396393997,3107.4820483490134,1702.3450838742788,0.2260127849042363,1.1142599479278799,4.974069196989801e-05,0.6838918755609689,0.37465058659995104
5053.893459941872,3102.3513370103537,1698.785793524458,0.22563963891861175,1.1140778691988373,4.973989462297318e-05,0.683880852344365,0.37447953188485933
5046.6664094852895,3098.2796813302034,1695.9590923177184,0.22534324746670845,1.1139333281897057,4.9739240375364605e-05,0.6838726234410827,0.37434322043325763
5076.408479736882,3115.055248994532,1707.573441767126,0.2265627258903704,1.1145281695947375,4.974196643018703e-05,0.6839120292834088,0.37489865326990857
5070.73585437624,3111.8443870902747,1705.3694600509582,0.22632964224670596,1.1144147170875247,4.974131792236891e-05,0.6839017613719106,0.37479546932270164
5063.000883884483,3107.4836105506943,1702.346850631098,0.22601291766938678,1.1142600176776896,4.9740690040026266e-05,0.6838917911009292,0.3746507408117302
5053.896800524515,3102.3528400803802,1698.7874791331053,0.2256397665126977,1.1140779360104902,4.973989285500762e-05,0.6838807726533567,0.3744796783892883
5046.668720499936,3098.280625913805,1695.9603536364934,0.2253433336069754,1.1139333744099986,4.973923867559702e-05,0.6838725471465849,0.3743433429497481
5076.408005265387,3115.0546412428807,1707.5735966145114,0.22656269843244367,1.1145281601053076,4.974196462744807e-05,0.6839119539506805,0.37489871911500955
5070.73493378637,3111.8435487543993,1705.3694196429337,0.22632959717388335,1.1144146986757273,4.974131622525828e-05,0.6839016899906529,0.37479552229385915
5062.99940368321,3107.482475611903,1702.3465726657,0.22601285022327558,1.114259988073664,4.974068841704315e-05,0.6838917230951128,0.3746507792151443
