,q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
0,8064.524988074728,4541.017971393178,3140.920568702531,0.2841801175205675,1.1742904997614945,4.137999605915725e-05,0.6612260822476865,0.45735529244275874
1,6093.748688032274,3635.085073384213,2159.597188442548,0.15662877439770415,1.1348749737606454,2.916990597000726e-05,0.6769834609977559,0.4021945977819294
2,5135.43983406205,3106.198810985904,1772.8952867293701,0.1154759231942152,1.115708796681241,2.5087919920340074e-05,0.6748425548034392,0.38517340888289126
3,4427.617493676761,2689.375995019891,1514.3989331178973,0.08971170877452986,1.1015523498735351,2.231948531075348e-05,0.6690931299369183,0.37676915537631595
4,3656.5733227790997,2224.4704522911597,1244.6262188603412,0.06546074778743635,1.086131466455582,1.9444154872193285e-05,0.6607463166082033,0.36969796061751625
5,3242.949187712485,1974.3074002532535,1101.1002456398874,0.05426250574067011,1.0778589837542496,1.8035228401112777e-05,0.6562005276303866,0.3659726758204718
6,2800.9985340417097,1705.2037289707632,949.893689025524,0.04296874706136888,1.069019970680834,1.6399311947320256e-05,0.6508024971076366,0.3625333291862601
7,2573.5837450615586,1566.396449585905,872.5612822097754,0.03755288010204351,1.064471674901231,1.5532417492258917e-05,0.6478843579306829,0.3609040394780659
8,2286.530293424349,1391.4246631549727,774.8492922343936,0.031245102890509618,1.0587306058684869,1.4467399276897849e-05,0.6442704393110019,0.3587779540832179
9,1993.1453958586865,1211.125061385636,676.6124270447883,0.02485236979684802,1.0528629079171736,1.3128063003988454e-05,0.6397670017607956,0.3574150330183839
10,1202.1604920750883,730.2165325192843,407.400903576936,0.011932128890044606,1.0370432098415017,1.0293245640617401e-05,0.6299209645926629,0.35144420692820816
11,873.459930617615,530.0935158263909,296.17295601675295,0.007628459196210816,1.0304691986123522,8.999717055146454e-06,0.6253807659579538,0.34941168786235327
