,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,pH,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
4,0.014886081894210692,0.006607875462402009,0.1315117369685838,0.014695750304480308,0.016757752082580964,0.020676071098675957,0.31924305455874463,2.944035970229697e-07,0.057922012067327285,0.1498252899354599,0.12896373857099866,0.2948606682651951,0.36648340656171785,0.036753146422053504,0.13609089476642441,0.038573428242351784,0.4459527741025454,1.2635707745121871,0.25536316294760775,0.4622513090423045,0.14655059450029817,0.8059662487271576,0.3373750267969689,25.549665444480972,0.03999972073314558,0.019999896741778732,7.447797450710353,0.014657882181762017,0.016718361150990464,0.020620288686487253,0.3185892714497351,0.1397320847065885,0.010093205228871416,0.003893903172614904,0.12506983539838376,1.2142573598650365e-05,1.6505033686860853,0.014429415695796354
5,0.013502502151378954,0.0059979843675575005,0.11542311892410213,0.013234878796599972,0.01508856482022855,0.018305210903042837,0.25399134705830556,2.6677838402012087e-07,0.05660913191510172,0.15123080367741717,0.12949675710106318,0.30917846909816404,0.34021897127331296,0.0326220599423934,0.12034135818800744,0.03431320687265443,0.4353662657451999,1.2285390011554547,0.2504698665968104,0.4496926360912272,0.14273985911927595,0.7879335360700663,0.32902438379364923,25.578131024248297,0.03999887121194557,0.019999582633438862,7.45636548542179,0.01320143960207883,0.015053788763771822,0.018256787103204983,0.2534813349343989,0.14122877440828963,0.01000202926912755,0.003985504183855663,0.12551125291720752,1.1262720836592415e-05,1.6391482694102593,0.014284016779253783
6,0.011954847661311885,0.005314745375445428,0.0986213069214942,0.011625019309440474,0.01325074433032251,0.01578368978692806,0.19762698380250615,2.3594523649472325e-07,0.055090439796392866,0.15266865579735162,0.1302246297401608,0.32866050121867,0.30869751883824836,0.027947238995679802,0.10257410466732157,0.02948304754824608,0.42016535767652713,1.1791706838111062,0.2430355265227035,0.43192067003729556,0.13730573988831157,0.7605610002974094,0.31702272083389826,25.616233675410108,0.03999456712712789,0.019997991208837666,7.465544740879351,0.011596260346828226,0.013220841358396454,0.015742807287602634,0.19723843389974066,0.14276901069824507,0.009899645099106541,0.004090829148017436,0.12613380059214335,1.0241116345577675e-05,1.6256643235476413,0.014149778109870581
7,0.01116121671896692,0.004963962530692827,0.09045442652896248,0.010809222020965355,0.012320073183618618,0.014540948244202385,0.17373896639387587,2.2016189211018391e-07,0.05429087068751526,0.15339091448045492,0.13066635100175358,0.34053224063785126,0.29146877313588,0.025525933469685715,0.09339923663710656,0.026976683009958445,0.4105048886394896,1.1482683061546708,0.23813966381945367,0.42076306678358816,0.13387521988995016,0.7427404885682332,0.3094030149742507,25.638621565996136,0.03998779387634298,0.019995486816293012,7.4701773360871515,0.010782764279088957,0.012292564793802965,0.014503683257497403,0.17340099942229648,0.14354319457965192,0.009847719900802993,0.004147327083391454,0.12651902391836212,9.699754183424887e-06,1.6183749926489375,0.014086186472932288
8,0.01021211874133571,0.004544086956645951,0.08105867513511014,0.00984212246875013,0.01121736124255095,0.013097218048960833,0.14869378978104317,2.013112072765973e-07,0.05331924986972617,0.15426321601164042,0.13126872291390645,0.3569093156378373,0.2697043243653251,0.02260661675348924,0.08236757292878805,0.023949765767684053,0.39671835834541685,1.104707503709883,0.23098890502299002,0.40500143886565515,0.12900949597269665,0.7170424089455636,0.2985497352839988,25.66736556280871,0.0399677569859523,0.019988078226163455,7.4757125699656335,0.00981833625421573,0.011192631497704698,0.013064077006760644,0.148408198251372,0.14447696277904465,0.00978625323259577,0.004218171595581767,0.12705055131832468,9.034666801179288e-06,1.6093476478026434,0.014003204760196354
9,0.00905691662458868,0.00403247413352419,0.07013326692851612,0.0086773126150464,0.009890036951623703,0.011399593400029986,0.12236951878049103,1.7840230750335675e-07,0.052111152732453925,0.1553385223276641,0.1321213239032119,0.38091955879753947,0.24109870274298084,0.01901427275995425,0.06884815980314364,0.020215761299399823,0.3755232432800454,1.0388121551554466,0.21972129665621964,0.38109944079855756,0.12159476771374739,0.6772903406609062,0.28192540345342204,25.700686197308126,0.03989430858986671,0.019960920865331903,7.48260806601838,0.008656671039268607,0.009868576125812361,0.011371201250093043,0.12213818269217948,0.1456295794573201,0.00970894287034399,0.004311298626411513,0.12781002527680038,8.198272040180867e-06,1.5980983397695117,0.013950009566551794
10,0.006761155649545391,0.0030139600617429692,0.04991321433573159,0.006401754607317635,0.007299624849552842,0.008207836830697457,0.07947116573446755,1.329785295576275e-07,0.049622412031036206,0.15685066335706005,0.1338729803193733,0.4465661061961834,0.17381762521556918,0.011714747618962764,0.041654867379441796,0.012582101468364306,0.3087914878987166,0.8381168707944261,0.1829735548702271,0.30800001385813114,0.09871519827773784,0.5524735817365085,0.23014457651885495,25.625843194323085,0.03886434135326585,0.019580093054516624,7.494052378204911,0.00638692125938091,0.007284196152416495,0.008187924529504165,0.07932482785413736,0.14728662418366673,0.009564039173393324,0.004481198586948807,0.1293917817324245,6.427972497736304e-06,1.573503548840321,0.013716966539864432
11,0.0057788225688452976,0.002577742823587353,0.04177122376141698,0.005444372731395994,0.006210847429714894,0.006912346366757719,0.0631271710417254,1.1356825403164459e-07,0.048514804506150706,0.1557077716355609,0.13377046518163654,0.48105387583476794,0.13815119561025174,0.008512212555719247,0.029910215408786286,0.009201985024734367,0.2621327455669601,0.7026515995269498,0.15664813549503834,0.25847704641409996,0.08307716875688136,0.4662694005889389,0.19444410370278095,25.293290005860563,0.03685808704567641,0.018838285539921226,7.493642571386951,0.005431745827703338,0.006197707636999816,0.00689556114657474,0.06301081938922193,0.14620500457607102,0.00950276705948988,0.004473684989523929,0.1292967801921126,5.620183928149204e-06,1.5621624138952817,0.013637636747344436
