t,n_out_M,n_out_C,n_out_S,n_out_W
0.0,2537.3884352520413,706.4932713246225,5.152875254774623,191.33033054624784
0.041666666666666664,2538.4149811516863,707.2323717167875,6.19715408642244,191.4929334548561
0.08333333333333333,2547.28875996733,713.3224816015941,6.309519214963237,192.38024259964868
0.125,2567.132565218394,726.9882955428395,6.5884639523180155,194.3687839977801
0.16666666666666666,2596.1772454087386,747.2287919059004,7.052800621780911,197.29650861429243
0.20833333333333334,2631.158114892266,772.025739421846,7.697105275079683,200.85206801296172
0.25,2668.971963309326,799.322121503701,8.50064515813373,204.73048561609198
0.2916666666666667,2707.245683334065,827.3802244316379,9.431446211077246,208.68794729424712
0.3333333333333333,2744.3789125163016,854.8629996937939,10.450131789078995,212.54931481135233
0.375,2779.3987968399647,880.8080723439795,11.514477750398724,216.1982965215507
0.4166666666666667,2811.7847620098114,904.5687092354719,12.583985348980447,219.56390873038276
0.4583333333333333,2841.3201066212873,925.751068952999,13.62351997052627,222.6082460413868
0.5,2867.9819677696914,944.1576785622232,14.60547557921653,225.31679579559955
0.5416666666666666,2891.8650775564433,959.7395468799841,15.510451743433388,227.69116769052914
0.5833333333333334,2913.13099534644,972.5566641116653,16.326780318696706,229.74375292574712
0.625,2931.9752429745085,982.7459561044415,17.04935754692006,231.4938375306594
0.6666666666666666,2948.606559313565,990.4956651291321,17.678192168229717,232.96479173537884
0.7083333333333334,2963.234047850606,996.0250677573162,18.216957185532596,234.18203847269635
0.75,2976.0595980346397,999.568879321599,18.671718830716006,235.17161818865077
0.7916666666666666,2987.273582016365,1001.3654236802475,19.049909494970375,235.95918179165332
0.8333333333333334,2997.052693078128,1001.6480040011102,19.35955501200909,236.56931234291602
0.875,3005.559080273505,1000.6388139615127,19.6087275554598,237.0250852079224
0.9166666666666666,3012.940340257638,998.5449751770242,19.805185796122476,237.34781428857735
0.9583333333333334,3019.32995171235,995.5561264947626,19.956155751331682,237.5569235116714
1.0,3024.848005092596,991.8432769108987,20.068215947784548,237.66991589999236
